Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,League,City,Mascot
Adam Milone,MEL,25,23,23,0,0,107.0,116,65,106,45,15,4,11,0,0,0,5.47,1.5,437.0,0,0,0,2022,0.3333333333333333,161,321.0,20.956521739130434,0,100,Healthy,0,NNL,Melbourne,Koi
Miguel Poche,FAI,33,22,22,0,0,106.1,101,41,91,26,16,7,8,0,0,0,3.47,1.19,419.29999999999995,0,0,0,2022,0.2840095465393795,127,318.29999999999995,20.24090909090909,0,100,Healthy,0,NNL,Fairfield,Puma
Jonathan Banuelos,PRO,32,47,10,0,0,106.1,96,41,95,41,15,4,4,8,1,8,3.47,1.29,414.29999999999995,0,0,0,2022,0.30069930069930073,137,318.29999999999995,9.687234042553191,0,100,Healthy,0,NNL,Provo,Duck breeds
Corey Lee,NOR,27,28,19,0,0,105.2,93,45,126,48,11,7,5,0,1,1,3.83,1.33,408.6,0,0,0,2022,0.3071593533487298,141,315.6,16.307142857142857,0,100,Healthy,0,NNL,Norwich,Guineafowl
Ian Springs,GRA,32,28,18,0,0,105.1,114,53,68,42,15,3,9,0,0,0,4.53,1.48,429.29999999999995,0,0,0,2022,0.33035714285714285,156,315.29999999999995,16.832142857142856,0,100,Healthy,0,SOL,Grayslake,Cephalopod
Colin Bell,SHR,30,23,20,0,0,105.1,119,55,63,30,11,5,6,0,0,0,4.7,1.41,434.29999999999995,0,0,0,2022,0.31972789115646255,149,315.29999999999995,20.186956521739127,0,100,Healthy,0,SOL,Shreveport,list
Erick Sanchez,SCR,25,19,19,0,0,105.0,119,57,71,30,11,5,6,0,0,0,4.89,1.42,434.0,0,0,0,2022,0.3212669683257918,149,315.0,24.42105263157895,0,100,Healthy,0,NNL,Scranton,Octopus
Robert Smith,HIG,30,19,19,0,0,104.2,91,37,109,28,12,4,9,0,0,0,3.18,1.14,403.6,0,0,0,2022,0.2753623188405797,119,312.6,22.71578947368421,0,100,Healthy,0,SOL,High Point,Giraffe
Matt Thompson,FAI,31,21,19,0,0,104.1,101,36,73,27,10,4,5,0,0,0,3.11,1.23,413.29999999999995,0,0,0,2022,0.2907801418439716,128,312.29999999999995,20.966666666666665,0,100,Healthy,0,NNL,Fairfield,Puma
Justin Stammen,SCR,28,19,19,0,0,104.1,91,51,114,39,12,5,7,0,0,0,4.4,1.25,403.29999999999995,0,0,0,2022,0.29411764705882354,130,312.29999999999995,23.27894736842105,0,100,Healthy,0,NNL,Scranton,Octopus
Kyle Rosario,CHI,26,21,21,0,0,104.0,108,61,70,47,19,4,10,0,0,0,5.28,1.49,420.0,0,0,0,2022,0.33184855233853006,155,312.0,22.238095238095237,0,100,Healthy,0,SOL,Chicago,Common names of poisonous animals
Christopher Florial,SHR,28,23,23,0,0,103.2,90,49,76,28,16,7,7,0,0,0,4.25,1.14,399.6,0,0,0,2022,0.2753623188405797,118,309.6,18.59130434782609,0,100,Healthy,0,SOL,Shreveport,list
Andres Crawford,SCR,25,19,19,0,0,103.1,90,42,131,39,13,4,7,0,0,0,3.66,1.25,399.29999999999995,0,0,0,2022,0.29411764705882354,129,309.29999999999995,23.068421052631578,0,100,Healthy,0,NNL,Scranton,Octopus
Jameson Sanchez,OGD,34,20,20,0,0,103.0,100,40,89,31,7,3,5,0,0,0,3.5,1.27,409.0,0,0,0,2022,0.29742388758782207,131,309.0,22.0,0,100,Healthy,0,NNL,Ogden,Ermine
Gio Luplow,FIT,30,22,21,0,0,102.2,103,54,69,47,8,6,10,0,0,0,4.73,1.46,409.6,0,0,0,2022,0.3273542600896861,150,306.6,20.754545454545454,0,100,Healthy,0,NNL,Fitchburg,Badger
Ryan Torres,CHA,34,25,25,0,0,102.2,87,52,84,48,12,2,8,0,0,0,4.56,1.31,393.6,0,0,0,2022,0.3039443155452436,135,306.6,17.664,0,100,Healthy,0,SOL,Chattanooga,Bee
Yuli Ford,NEW,29,19,19,0,0,102.0,72,36,112,30,14,7,3,0,0,0,3.18,1.0,378.0,0,0,0,2022,0.25,102,306.0,21.473684210526315,0,100,Healthy,0,SOL,Newport News,Horse
Carson Villar,GRA,28,27,17,0,0,101.0,108,54,61,25,18,4,11,0,0,1,4.81,1.32,411.0,0,0,0,2022,0.3055555555555555,133,303.0,16.14814814814815,0,100,Healthy,0,SOL,Grayslake,Cephalopod
Kyle Oviedo,HAR,31,32,20,0,0,100.2,93,58,124,58,23,6,7,1,0,0,5.19,1.5,393.6,0,0,0,2022,0.3333333333333333,151,300.6,14.1125,0,100,Healthy,0,SOL,Hartford,Zebra
Jeurys Hand,MEL,25,18,18,0,0,100.1,69,37,120,35,10,4,7,0,0,0,3.32,1.04,369.29999999999995,0,0,0,2022,0.25742574257425743,104,300.29999999999995,22.46111111111111,0,100,Healthy,0,NNL,Melbourne,Koi
Joey Kershaw,BRE,28,31,13,0,0,100.0,107,57,97,43,11,6,8,1,1,2,5.13,1.5,407.0,0,0,0,2022,0.3333333333333333,150,300.0,14.516129032258064,0,100,Healthy,0,SOL,Bremerton,Planarian
Frank Eovaldi,SCR,35,19,19,0,0,98.0,120,66,76,40,24,4,12,0,0,0,6.06,1.63,414.0,0,0,0,2022,0.3520518358531317,160,294.0,23.894736842105264,0,100,Healthy,0,NNL,Scranton,Octopus
Bryson Quintana,NEW,31,18,18,0,0,97.2,81,46,85,44,11,8,6,0,0,0,4.24,1.28,372.6,0,0,0,2022,0.29906542056074764,125,291.6,23.144444444444446,0,100,Healthy,0,SOL,Newport News,Horse
Tyler Senzel,APP,26,20,19,0,0,97.1,102,63,84,35,16,4,9,0,0,0,5.83,1.41,393.29999999999995,0,0,0,2022,0.31972789115646255,137,291.29999999999995,21.415,0,100,Healthy,0,NNL,Appleton,Raven
Robbie Kemp,NAS,27,20,20,0,0,97.0,93,53,98,22,14,5,6,0,0,0,4.92,1.19,384.0,0,0,0,2022,0.2840095465393795,115,291.0,20.3,0,100,Healthy,0,SOL,Nashville,Crow
Michael McGee,OGD,23,21,18,0,0,95.0,82,40,86,39,13,5,5,0,0,1,3.79,1.27,367.0,0,0,0,2022,0.29742388758782207,121,285.0,19.333333333333332,0,100,Healthy,0,NNL,Ogden,Ermine
Ozzie Suzuki,APP,28,19,19,0,0,92.1,133,52,54,23,9,3,7,0,0,0,5.07,1.69,409.29999999999995,0,0,0,2022,0.36034115138592754,156,276.29999999999995,22.752631578947366,0,100,Healthy,0,NNL,Appleton,Raven
Joe Thompson,GRA,30,17,17,0,0,91.0,87,41,72,34,12,5,5,0,0,0,4.05,1.33,360.0,0,0,0,2022,0.3071593533487298,121,273.0,23.176470588235293,0,100,Healthy,0,SOL,Grayslake,Cephalopod
Leody Hoeing,NOR,30,30,9,0,0,89.2,87,32,84,23,12,3,5,1,1,1,3.21,1.23,354.6,0,0,0,2022,0.2907801418439716,110,267.6,12.586666666666668,0,100,Healthy,0,NNL,Norwich,Guineafowl
Elieser Syndergaard,APP,31,17,17,0,0,89.1,102,51,60,38,10,3,8,0,0,0,5.14,1.57,369.29999999999995,0,0,0,2022,0.3435448577680525,140,267.29999999999995,23.958823529411763,0,100,Healthy,0,NNL,Appleton,Raven
Jovani Dozier,MEL,25,17,17,0,0,88.0,86,35,90,24,9,3,7,0,0,0,3.58,1.25,350.0,0,0,0,2022,0.29411764705882354,110,264.0,22.0,0,100,Healthy,0,NNL,Melbourne,Koi
Davis Pagan,OLY,32,60,2,0,0,86.1,79,28,61,14,11,4,2,0,0,5,2.92,1.08,337.29999999999995,0,0,0,2022,0.2647058823529412,93,258.29999999999995,5.8549999999999995,0,100,Healthy,0,NNL,Olympia,list
Wander Bazardo,SCR,30,14,14,0,0,85.0,63,27,90,28,7,4,4,0,0,0,2.86,1.07,318.0,0,0,0,2022,0.2628992628992629,91,255.0,24.714285714285715,0,100,Healthy,0,NNL,Scranton,Octopus
Kody Martinez,FAI,33,16,16,0,0,84.1,85,45,66,24,15,4,6,0,0,0,4.8,1.29,337.29999999999995,0,0,0,2022,0.30069930069930073,109,252.29999999999998,22.581249999999997,0,100,Healthy,0,NNL,Fairfield,Puma
Carlos Palacios,BRI,25,20,16,0,0,84.0,85,36,74,17,16,6,4,0,0,0,3.86,1.21,337.0,0,0,0,2022,0.28741092636579574,102,252.0,17.7,0,100,Healthy,0,NNL,Brighton,Swordtail
Jeremy Fernandez,SHR,30,22,17,0,0,83.0,77,28,72,25,10,5,4,0,0,0,3.04,1.23,326.0,0,0,0,2022,0.2907801418439716,102,249.0,15.954545454545455,0,100,Healthy,0,SOL,Shreveport,list
Paul Bummer,BRE,26,52,0,0,0,82.1,63,18,90,24,9,7,5,0,5,9,1.97,1.06,309.29999999999995,0,0,0,2022,0.2610837438423645,87,246.29999999999998,6.409615384615384,0,100,Healthy,0,SOL,Bremerton,Planarian
Lou DeJong,SHR,28,45,1,0,0,81.2,69,29,77,20,10,3,3,2,0,3,3.2,1.09,312.6,0,0,0,2022,0.2665036674816626,89,243.60000000000002,7.391111111111112,0,100,Healthy,0,SOL,Shreveport,list
Rafael Frazier,GRA,25,15,15,0,0,81.2,73,38,54,25,14,3,6,0,0,0,4.19,1.2,316.6,0,0,0,2022,0.2857142857142857,98,243.60000000000002,22.773333333333333,0,100,Healthy,0,SOL,Grayslake,Cephalopod
Cristopher Murphy,SCR,30,46,10,0,0,80.2,76,41,59,28,14,4,4,0,1,5,4.57,1.29,316.6,0,0,0,2022,0.30069930069930073,104,240.60000000000002,7.4913043478260875,0,100,Healthy,0,NNL,Scranton,Octopus
Ketel Riley,RAN,31,20,9,0,0,80.0,88,40,61,22,12,3,8,0,0,0,4.5,1.38,328.0,0,0,0,2022,0.3150684931506849,110,240.0,17.5,0,100,Healthy,0,SOL,Rancho Cucamonga,Gazelle
Josh Castro,NEW,30,15,15,0,0,80.0,75,34,64,22,9,5,8,0,0,0,3.83,1.21,315.0,0,0,0,2022,0.28741092636579574,97,240.0,22.466666666666665,0,100,Healthy,0,SOL,Newport News,Horse
Dennis McKinstry,NEW,26,35,1,0,0,79.1,63,23,54,19,11,3,3,0,3,5,2.61,1.03,300.29999999999995,0,0,0,2022,0.25558312655086846,82,237.29999999999998,9.122857142857141,0,100,Healthy,0,SOL,Newport News,Horse
Jarren Flores,SIO,26,31,9,0,0,78.1,65,30,82,15,10,4,2,6,2,4,3.45,1.02,299.29999999999995,0,0,0,2022,0.2537313432835821,80,234.29999999999998,10.138709677419353,0,100,Healthy,0,SOL,Sioux Falls,Toucan
Josh Plummer,FIT,26,18,17,0,0,78.0,54,31,86,27,6,4,4,0,1,0,3.58,1.04,288.0,0,0,0,2022,0.25742574257425743,81,234.0,17.5,0,100,Healthy,0,NNL,Fitchburg,Badger
Adam Rivera,SIO,27,21,12,0,0,77.1,81,47,77,29,12,3,6,0,0,0,5.47,1.42,312.29999999999995,0,0,0,2022,0.3212669683257918,110,231.29999999999998,16.25238095238095,0,100,Healthy,0,SOL,Sioux Falls,Toucan
Tyler Bass,OGD,28,60,1,0,0,76.0,68,37,68,38,8,6,10,4,6,16,4.38,1.39,296.0,0,0,0,2022,0.31662870159453305,106,228.0,5.566666666666666,0,100,Healthy,0,NNL,Ogden,Ermine
Kyle Burnes,BRI,29,20,13,0,0,75.2,70,34,65,15,8,3,5,1,0,2,4.04,1.12,295.6,0,0,0,2022,0.2718446601941748,85,225.60000000000002,15.530000000000001,0,100,Healthy,0,NNL,Brighton,Swordtail
Tyler Castillo,WES,32,68,0,0,0,75.2,73,30,49,23,3,3,4,0,1,15,3.57,1.27,298.6,0,0,0,2022,0.29742388758782207,96,225.60000000000002,4.729411764705882,0,100,Healthy,0,NNL,Westminster,Tarsier
Aaron Toussaint,RIC,30,27,9,0,0,75.1,68,40,69,25,11,3,3,0,0,1,4.78,1.23,293.29999999999995,0,0,0,2022,0.2907801418439716,93,225.29999999999998,11.788888888888888,0,100,Healthy,0,SOL,Richmond County,Skink
Sergio Naquin,CHI,30,69,0,0,0,74.1,52,18,77,22,9,7,4,24,4,6,2.18,1.0,274.29999999999995,0,0,0,2022,0.25,74,222.29999999999998,4.294202898550724,0,100,Healthy,0,SOL,Chicago,Common names of poisonous animals
Elehuris Akin,HIG,28,19,14,0,0,74.1,82,52,46,39,17,2,8,0,0,1,6.3,1.63,304.29999999999995,0,0,0,2022,0.3520518358531317,121,222.29999999999998,18.068421052631578,0,100,Healthy,0,SOL,High Point,Giraffe
Anthony Junis,BRE,33,63,0,0,0,74.0,49,16,83,38,3,5,2,5,1,14,1.95,1.18,271.0,0,0,0,2022,0.2822966507177034,87,222.0,4.904761904761905,0,100,Healthy,0,SOL,Bremerton,Planarian
William Turner,SHR,28,67,0,0,0,73.2,57,25,60,16,6,4,4,5,1,16,3.05,0.99,276.6,0,0,0,2022,0.24812030075187969,73,219.60000000000002,4.367164179104478,0,100,Healthy,0,SOL,Shreveport,list
Matt Scott,SHR,28,15,13,0,0,73.2,97,49,49,12,21,2,5,0,0,1,5.99,1.48,316.6,0,0,0,2022,0.33035714285714285,109,219.60000000000002,21.90666666666667,0,100,Healthy,0,SOL,Shreveport,list
Kevin Pederson,NAS,25,77,0,0,0,72.2,43,11,77,10,3,3,4,42,4,0,1.36,0.73,259.6,0,0,0,2022,0.19571045576407506,53,216.60000000000002,3.5012987012987016,0,100,Healthy,0,SOL,Nashville,Crow
Dylan Reyes,HUN,31,16,14,0,0,72.2,60,25,110,19,14,4,4,0,0,0,3.1,1.09,276.6,0,0,0,2022,0.2665036674816626,79,216.60000000000002,18.475,0,100,Healthy,0,SOL,Huntsville,Eel
Daz Effross,NEW,30,15,14,0,0,72.1,65,29,58,19,11,2,5,0,0,0,3.61,1.16,281.29999999999995,0,0,0,2022,0.2788461538461538,84,216.29999999999998,20.019999999999996,0,100,Healthy,0,SOL,Newport News,Horse
Wandy Bogaerts,CHA,28,65,0,0,0,72.1,56,27,78,20,7,7,4,1,6,18,3.36,1.05,272.29999999999995,0,0,0,2022,0.2592592592592593,76,216.29999999999998,4.496923076923077,0,100,Healthy,0,SOL,Chattanooga,Bee
Hunter Andujar,OGD,29,42,0,0,0,71.2,52,21,59,30,10,6,3,1,3,4,2.64,1.14,265.6,0,0,0,2022,0.2753623188405797,82,213.60000000000002,7.038095238095239,0,100,Healthy,0,NNL,Ogden,Ermine
Justin Kluber,MEL,25,14,14,0,0,71.2,44,24,75,33,10,6,4,0,0,0,3.01,1.07,257.6,0,0,0,2022,0.2628992628992629,77,213.60000000000002,20.75714285714286,0,100,Healthy,0,NNL,Melbourne,Koi
Ian Miller,FIT,30,18,11,0,0,71.2,88,43,46,28,12,2,3,0,0,0,5.4,1.62,301.6,0,0,0,2022,0.35064935064935066,116,213.60000000000002,18.311111111111114,0,100,Healthy,0,NNL,Fitchburg,Badger
Marco Burke,HAR,32,77,0,0,0,70.2,66,22,58,13,6,10,6,4,4,20,2.8,1.12,276.6,0,0,0,2022,0.2718446601941748,79,210.60000000000002,3.7610389610389614,0,100,Healthy,0,SOL,Hartford,Zebra
Madison Chacin,SIO,24,15,14,0,0,70.1,85,46,44,27,10,5,7,0,0,0,5.89,1.59,295.29999999999995,0,0,0,2022,0.34640522875817,112,210.29999999999998,21.486666666666665,0,100,Healthy,0,SOL,Sioux Falls,Toucan
Dinelson Poteet,CHA,27,15,12,0,0,70.1,67,29,40,19,13,5,2,0,0,0,3.71,1.22,277.29999999999995,0,0,0,2022,0.2890995260663507,86,210.29999999999998,19.75333333333333,0,100,Healthy,0,SOL,Chattanooga,Bee
Martin Carpenter,WES,31,44,1,0,0,70.0,57,32,65,39,14,1,3,0,0,4,4.11,1.37,267.0,0,0,0,2022,0.3135011441647597,96,210.0,6.954545454545454,0,100,Healthy,0,SOL,Westminster,Tarsier
Rob Wilson,PRO,24,16,13,0,0,70.0,66,35,72,37,7,4,4,0,0,1,4.5,1.47,276.0,0,0,0,2022,0.3288590604026846,103,210.0,19.5625,0,100,Healthy,0,NNL,Provo,Duck breeds
Nick Vierling,MEM,29,75,0,0,0,70.0,49,16,94,15,5,5,4,5,4,35,2.06,0.91,259.0,0,0,0,2022,0.23273657289002558,64,210.0,3.6533333333333333,0,100,Healthy,0,NNL,Memphis,Thrush
Tyler Arias,SHR,28,66,2,0,0,69.2,60,27,76,26,3,4,3,1,2,9,3.49,1.23,267.6,0,0,0,2022,0.2907801418439716,86,207.60000000000002,4.448484848484849,0,100,Healthy,0,SOL,Shreveport,list
Roansy Howard,NEW,28,64,1,0,0,69.1,48,23,76,18,7,4,0,0,0,7,2.99,0.95,255.29999999999998,0,0,0,2022,0.24050632911392403,66,207.29999999999998,4.270312499999999,0,100,Healthy,0,SOL,Newport News,Horse
Albert Borucki,OLY,39,14,14,0,0,69.1,55,33,48,33,13,4,6,0,0,0,4.28,1.27,262.29999999999995,0,0,0,2022,0.29742388758782207,88,207.29999999999998,21.092857142857138,0,100,Healthy,0,NNL,Olympia,list
Mike DeJong,MEM,35,58,0,0,0,69.1,51,20,75,14,5,3,2,0,5,17,2.6,0.94,258.29999999999995,0,0,0,2022,0.23857868020304568,65,207.29999999999998,4.6948275862068956,0,100,Healthy,0,NNL,Memphis,Thrush
Matt Wallach,NEW,29,49,1,0,0,69.0,48,19,63,15,4,2,1,9,3,7,2.48,0.91,255.0,0,0,0,2022,0.23273657289002558,63,207.0,5.510204081632653,0,100,Healthy,0,SOL,Newport News,Horse
Cal Rivera,BRI,27,47,2,0,0,68.2,66,37,69,36,1,3,2,1,0,3,4.85,1.49,270.6,0,0,0,2022,0.33184855233853006,102,204.60000000000002,6.523404255319149,0,100,Healthy,0,NNL,Brighton,Swordtail
Brandon Graterol,CHA,32,71,0,0,0,68.1,47,18,73,23,3,5,2,14,2,23,2.37,1.02,251.29999999999998,0,0,0,2022,0.2537313432835821,70,204.29999999999998,3.8633802816901404,0,100,Healthy,0,SOL,Chattanooga,Bee
Jalen De Jong,WES,32,76,11,0,0,68.0,71,24,54,18,5,6,2,0,4,18,3.18,1.31,275.0,0,0,0,2022,0.3039443155452436,89,204.0,3.8552631578947367,0,100,Healthy,0,NNL,Westminster,Tarsier
J.J. Robles,CHI,26,68,0,0,0,68.0,47,21,71,37,5,5,2,0,3,16,2.78,1.24,251.0,0,0,0,2022,0.29245283018867924,84,204.0,4.235294117647059,0,100,Healthy,0,SOL,Chicago,Common names of poisonous animals
Jarlin Wendelken,WES,25,68,0,0,0,67.2,54,19,80,30,4,6,6,27,3,2,2.53,1.24,255.60000000000002,0,0,0,2022,0.29245283018867924,84,201.60000000000002,4.2,0,100,Healthy,0,NNL,Westminster,Tarsier
Will Machado,CHA,25,57,0,0,0,67.2,50,14,89,16,6,2,4,8,0,18,1.86,0.98,251.60000000000002,0,0,0,2022,0.24623115577889446,66,201.60000000000002,4.6947368421052635,0,100,Healthy,0,SOL,Chattanooga,Bee
Lorenzo Sosa,FAI,32,35,4,0,0,67.2,52,30,73,25,10,2,7,3,2,4,3.99,1.14,253.60000000000002,0,0,0,2022,0.2753623188405797,77,201.60000000000002,7.960000000000001,0,100,Healthy,0,NNL,Fairfield,Puma
Michael Pagan,HIG,28,70,0,0,0,67.2,50,25,58,17,9,4,4,4,4,21,3.33,0.99,251.60000000000002,0,0,0,2022,0.24812030075187969,67,201.60000000000002,3.8371428571428576,0,100,Healthy,0,SOL,High Point,Giraffe
Kutter Perdomo,PRO,28,50,1,0,0,67.1,57,22,65,22,5,5,2,0,4,6,2.94,1.17,258.29999999999995,0,0,0,2022,0.2805755395683453,79,201.29999999999998,5.605999999999999,0,100,Healthy,0,NNL,Provo,Duck breeds
Jalen Barria,CHA,26,15,11,0,0,67.0,69,35,47,18,11,4,6,0,0,0,4.7,1.3,270.0,0,0,0,2022,0.3023255813953489,87,201.0,19.2,0,100,Healthy,0,SOL,Chattanooga,Bee
Ranger Fry,OLY,31,66,0,0,0,66.2,54,26,70,22,9,6,4,11,4,14,3.51,1.14,252.60000000000002,0,0,0,2022,0.2753623188405797,76,198.60000000000002,4.160606060606061,0,100,Healthy,0,NNL,Olympia,list
Trevor Jimenez,NAS,26,50,1,0,0,66.2,46,25,72,13,10,5,3,0,4,10,3.38,0.89,244.60000000000002,0,0,0,2022,0.2287917737789203,59,198.60000000000002,5.152,0,100,Healthy,0,SOL,Nashville,Crow
Nick Smith,FIT,33,54,0,0,0,66.2,58,28,53,22,9,5,3,0,0,1,3.78,1.2,256.6,0,0,0,2022,0.2857142857142857,80,198.60000000000002,5.15925925925926,0,100,Healthy,0,NNL,Fitchburg,Badger
Cody McGuire,HIG,27,62,0,0,0,66.1,53,23,76,23,7,4,3,4,5,20,3.12,1.15,251.29999999999998,0,0,0,2022,0.2771084337349397,76,198.29999999999998,4.424193548387096,0,100,Healthy,0,SOL,High Point,Giraffe
Tyler Vazquez,OLY,36,69,0,0,0,66.1,54,31,74,27,11,1,4,1,2,6,4.21,1.22,252.29999999999998,0,0,0,2022,0.2890995260663507,81,198.29999999999998,4.047826086956521,0,100,Healthy,0,NNL,Olympia,list
Diego Gallen,NOR,37,66,0,0,0,65.2,48,15,79,16,6,6,3,3,3,20,2.06,0.97,243.60000000000002,0,0,0,2022,0.2443324937027708,64,195.60000000000002,3.9333333333333336,0,100,Healthy,0,NNL,Norwich,Guineafowl
Zach Gilbreath,SHR,27,65,0,0,0,65.2,38,16,88,23,7,4,4,15,2,14,2.19,0.93,233.60000000000002,0,0,0,2022,0.2366412213740458,61,195.60000000000002,3.947692307692308,0,100,Healthy,0,SOL,Shreveport,list
Chi Pham,CHA,30,67,0,0,0,65.2,58,28,73,24,10,0,2,0,2,14,3.84,1.25,253.60000000000002,0,0,0,2022,0.29411764705882354,82,195.60000000000002,4.143283582089553,0,100,Healthy,0,SOL,Chattanooga,Bee
Jonathan Cuas,NEW,30,11,11,0,0,65.1,55,23,77,17,6,4,2,0,0,0,3.17,1.1,250.29999999999998,0,0,0,2022,0.26829268292682934,72,195.29999999999998,24.299999999999997,0,100,Healthy,0,SOL,Newport News,Horse
Michael Meadows,RIC,29,61,1,0,0,65.1,51,20,63,11,1,6,4,0,5,9,2.76,0.95,246.29999999999998,0,0,0,2022,0.24050632911392403,62,195.29999999999998,4.218032786885245,0,100,Healthy,0,SOL,Richmond County,Skink
Dylan Meyers,CHA,33,70,0,0,0,65.1,49,27,79,17,3,6,4,3,4,25,3.72,1.01,244.29999999999998,0,0,0,2022,0.2518703241895262,66,195.29999999999998,3.732857142857142,0,100,Healthy,0,SOL,Chattanooga,Bee
Robert Ruiz,RIC,32,65,0,0,0,65.0,65,23,66,26,5,3,4,6,6,27,3.18,1.4,260.0,0,0,0,2022,0.3181818181818181,91,195.0,4.4,0,100,Healthy,0,SOL,Richmond County,Skink
Jarred Clemens,WES,30,58,0,0,0,65.0,60,27,56,18,10,1,4,1,2,4,3.74,1.2,255.0,0,0,0,2022,0.2857142857142857,78,195.0,4.706896551724138,0,100,Healthy,0,NNL,Westminster,Tarsier
Manuel Weaver,HUN,28,12,12,1,1,65.0,67,29,58,17,8,6,3,0,0,0,4.02,1.29,262.0,0,0,0,2022,0.30069930069930073,84,195.0,23.25,0,100,Healthy,0,SOL,Huntsville,Eel
Corbin Luetge,NOR,33,62,0,0,0,65.0,58,26,69,18,9,3,2,3,3,16,3.6,1.17,253.0,0,0,0,2022,0.2805755395683453,76,195.0,4.370967741935484,0,100,Healthy,0,NNL,Norwich,Guineafowl
Carlos Mercedes,NEW,24,64,0,0,0,65.0,43,18,96,15,5,2,5,4,4,22,2.49,0.89,238.0,0,0,0,2022,0.2287917737789203,58,195.0,3.953125,0,100,Healthy,0,SOL,Newport News,Horse
Rowan Medina,SIO,29,64,0,0,0,65.0,45,16,74,19,3,4,4,8,2,22,2.22,0.98,240.0,0,0,0,2022,0.24623115577889446,64,195.0,4.046875,0,100,Healthy,0,SOL,Sioux Falls,Toucan
Johan Suwinski,OLY,24,14,14,0,0,64.2,76,51,55,39,8,1,12,0,0,0,7.1,1.78,268.6,0,0,0,2022,0.3723849372384937,115,192.60000000000002,21.97142857142857,0,100,Healthy,0,NNL,Olympia,list
Trevor Schmidt,GIL,28,54,0,0,0,64.2,28,9,94,20,6,9,1,19,4,7,1.25,0.74,220.60000000000002,0,0,0,2022,0.1978609625668449,48,192.60000000000002,4.455555555555556,0,100,Healthy,0,NNL,Gilbert,Gopher
JP Megill,FIT,32,67,0,0,0,64.2,61,27,64,15,5,3,3,0,1,9,3.76,1.18,253.60000000000002,0,0,0,2022,0.2822966507177034,76,192.60000000000002,4.008955223880597,0,100,Healthy,0,NNL,Fitchburg,Badger
Brett Quintana,NOR,34,11,11,0,0,64.1,40,22,102,8,9,5,4,0,0,0,3.08,0.75,232.29999999999998,0,0,0,2022,0.2,48,192.29999999999998,21.845454545454544,0,100,Healthy,0,NNL,Norwich,Guineafowl
Jed Lamet,FIT,34,70,0,0,0,64.0,52,21,68,27,6,4,3,1,7,29,2.95,1.23,244.0,0,0,0,2022,0.2907801418439716,79,192.0,3.8714285714285714,0,100,Healthy,0,NNL,Fitchburg,Badger
Matt Winder,NEW,32,65,0,0,0,64.0,32,19,72,17,10,5,4,20,5,8,2.67,0.77,224.0,0,0,0,2022,0.20424403183023873,49,192.0,3.707692307692308,0,100,Healthy,0,SOL,Newport News,Horse
James Cessa,HAR,29,62,4,0,0,64.0,57,38,82,35,9,3,2,0,1,8,5.34,1.44,249.0,0,0,0,2022,0.32432432432432434,92,192.0,4.580645161290323,0,100,Healthy,0,SOL,Hartford,Zebra
Seth Bradley,FAI,30,64,0,0,0,64.0,79,30,69,29,9,4,7,9,5,5,4.22,1.69,271.0,0,0,0,2022,0.36034115138592754,108,192.0,4.6875,0,100,Healthy,0,NNL,Fairfield,Puma
Matt Hernandez,HAR,29,63,0,0,0,64.0,44,15,73,21,4,5,4,36,6,2,2.11,1.02,236.0,0,0,0,2022,0.2537313432835821,65,192.0,4.079365079365079,0,100,Healthy,0,SOL,Hartford,Zebra
Seth Pham,MEM,35,65,0,0,0,64.0,45,24,85,22,8,5,2,41,7,0,3.38,1.05,237.0,0,0,0,2022,0.2592592592592593,67,192.0,3.9846153846153847,0,100,Healthy,0,NNL,Memphis,Thrush
Alex Bellinger,SCR,26,59,0,0,0,63.2,28,13,83,33,5,7,3,10,4,13,1.84,0.96,217.60000000000002,0,0,0,2022,0.24242424242424243,61,189.60000000000002,4.247457627118645,0,100,Healthy,0,NNL,Scranton,Octopus
Javier Happ,NEW,30,62,0,0,0,63.2,45,18,65,20,2,7,4,20,5,7,2.54,1.02,234.60000000000002,0,0,0,2022,0.2537313432835821,65,189.60000000000002,4.106451612903226,0,100,Healthy,0,SOL,Newport News,Horse
Jesus Raleigh,NAS,27,66,0,0,0,63.2,57,19,82,18,3,6,5,3,2,20,2.69,1.18,246.60000000000002,0,0,0,2022,0.2822966507177034,75,189.60000000000002,4.00909090909091,0,100,Healthy,0,SOL,Nashville,Crow
Trevor Jin Ryu,HAR,36,65,1,0,0,63.2,52,20,64,31,2,0,2,1,1,9,2.83,1.3,241.60000000000002,0,0,0,2022,0.3023255813953489,83,189.60000000000002,4.193846153846154,0,100,Healthy,0,SOL,Hartford,Zebra
Taylor Frias,GIL,30,11,11,1,1,63.2,56,22,61,13,6,6,3,0,0,0,3.11,1.08,245.60000000000002,0,0,0,2022,0.2647058823529412,69,189.60000000000002,23.50909090909091,0,100,Healthy,0,NNL,Gilbert,Gopher
Garrett Bender,RAN,31,67,0,0,0,63.1,31,11,75,17,5,2,3,8,4,21,1.56,0.76,220.3,0,0,0,2022,0.2021276595744681,48,189.3,3.5417910447761196,0,100,Healthy,0,SOL,Rancho Cucamonga,Gazelle
